"Compound_Name","TYPE","CID","SMILES","CAS","MW_Da","Less_equal_600_da"
"Isepamicin","GN_antibiotics_oshea","3037209","C[C@@]1(CO[C@@H]([C@@H]([C@H]1NC)O)O[C@H]2[C@@H](C[C@@H]([C@H]([C@@H]2O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N)NC(=O)[C@H](CN)O)O","58152-03-7",569.6,TRUE
"Netilmicin","GN_antibiotics_oshea","441306","CCN[C@@H]1C[C@@H]([C@H]([C@@H]([C@H]1O[C@@H]2[C@@H]([C@H]([C@@](CO2)(C)O)NC)O)O)O[C@@H]3[C@@H](CC=C(O3)CN)N)N","56391-56-1",475.6,TRUE
"Sisomicin","GN_antibiotics_oshea","36119","C[C@@]1(CO[C@@H]([C@@H]([C@H]1NC)O)O[C@H]2[C@@H](C[C@@H]([C@H]([C@@H]2O)O[C@@H]3[C@@H](CC=C(O3)CN)N)N)N)O","32385-11-8",447.5,TRUE
"Tobramycin","GN_antibiotics_oshea","36294","C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)CN)O)N)N","32986-56-4",467.5,TRUE
"Chloramphenicol","GN_antibiotics_oshea","5959","C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]","56-75-7",323.13,TRUE
"Loracarbef","GN_antibiotics_oshea","5284585","C1CC(=C(N2[C@H]1[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)Cl","76470-66-1",349.77,TRUE
"Ertapenem","GN_antibiotics_oshea","150610","C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)NC4=CC=CC(=C4)C(=O)O)C(=O)O)[C@@H](C)O","153832-46-3",475.5,TRUE
"Imipenem","GN_antibiotics_oshea","104838","C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O","64221-86-9",299.35,TRUE
"Meropenem","GN_antibiotics_oshea","441130","C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O","96036-03-2",383.5,TRUE
"Tomopenem","GN_antibiotics_oshea","9809656","C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](N(C3)C)C(=O)N4CC[C@@H](C4)NC(=O)CN=C(N)N)C(=O)O)[C@@H](C)O","222400-20-6",537.6,TRUE
"Cefetamet","GN_antibiotics_oshea","5487888","CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)O","65052-63-3",397.4,TRUE
"Ceftibuten","GN_antibiotics_oshea","5282242","C1C=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)/C(=C\CC(=O)O)/C3=CSC(=N3)N)C(=O)O","97519-39-6",410.4,TRUE
"Cefaclor","GN_antibiotics_oshea","51039","C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)Cl","53994-73-3",367.8,TRUE
"Cefadroxil","GN_antibiotics_oshea","47965","CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O","50370-12-2",363.4,TRUE
"Cefamandole","GN_antibiotics_oshea","456255","CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)[C@@H](C4=CC=CC=C4)O)SC2)C(=O)O","34444-01-4",462.5,TRUE
"Cefazolin","GN_antibiotics_oshea","33255","CC1=NN=C(S1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)O","25953-19-9",454.5,TRUE
"Cefdinir","GN_antibiotics_oshea","6915944","C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\O)/C3=CSC(=N3)N)SC1)C(=O)O","91832-40-5",395.4,TRUE
