"name","smiles","formula","molwt","rb","glob","pbf","func_group"
"Gliclazide","CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CC2CCCC2C1","C15H21N3O3S","323.411","3","0.0797103","0.906538","No Amine"
"Guanylurea","NC(=N)NC(N)=O","C2H6N4O","102.095","1","0.0146247","0.158025","No Amine"
"Hydrocodone","COC1=C2O[C@H]3C(=O)CC[C@H]4[C@H]5CC(C=C1)=C2[C@@]34CCN5C","C18H21NO3","299.364","1","0.252162","1.08318","Tertiary Amine"
"Ibuprofen","CC(C)CC1=CC=C(C=C1)C(C)C(O)=O","C13H18O2","206.281","4","0.105594","0.925228","No Amine"
"Imidacloprid","[O-][N+](=O)\N=C1/NCCN1CC1=CN=C(Cl)C=C1","C9H10ClN5O2","255.661","3","0.153504","0.863855","No Amine"
"Isoprocarb","CNC(=O)OC1=CC=CC=C1C(C)C","C11H15NO2","193.242","3","0.139643","0.7654","No Amine"
"Ketamine","CNC1(CCCCC1=O)C1=CC=CC=C1Cl","C13H16ClNO","237.725","2","0.181387","0.806407","Secondary Amine"
"Lamotrigine","NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1","C9H7Cl2N5","256.091","1","0.0912326","0.699717","No Amine"
"Lidocaine","CCN(CC)CC(=O)NC1=C(C)C=CC=C1C","C14H22N2O","234.337","5","0.0769449","0.65335","Tertiary Amine"
"Linalool","CC(C)=CCCC(C)(O)C=C","C10H18O","154.249","4","0.132339","0.84075","No Amine"
"Sotalol","CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1","C12H20N2O3S","272.364","6","0.0904374","0.884068","Secondary Amine"
"Melamine","NC1=NC(N)=NC(N)=N1","C3H6N6","126.12","0","0.00859272","0.144753","No Amine"
"Metaflumizone","FC(F)(F)OC1=CC=C(NC(=O)N\N=C(/CC2=CC=C(C=C2)C#N)C2=CC(=CC=C2)C(F)(F)F)C=C1","C24H16F6N4O2","506.4","8","0.078751","1.04419","No Amine"
"Metazachlor","CC1=CC=CC(C)=C1N(CN1C=CC=N1)C(=O)CCl","C14H16ClN3O","277.749","4","0.570893","1.3198","No Amine"
"MetazachlorESA","CC1=CC=CC(C)=C1N(CN1C=CC=N1)C(=O)CS(O)(=O)=O","C14H17N3O4S","323.367","5","0.379861","1.22432","No Amine"
"Metformin","CN(C)C(=N)NC(N)=N","C4H11N5","129.164","3","0.121685","0.614672","No Amine"
"Methylamine","CN","CH5N","31.0571","0","0.232044","0.342991","Primary Amine"
"Methylchlorophenoxypropionicacid","CCC(Cl)(OC1=CC=CC=C1)C(O)=O","C10H11ClO3","214.646","4","0.195731","0.976644","No Amine"
"Modafinil","NC(=O)C=S(O)C(C1=CC=CC=C1)C1=CC=CC=C1","C15H15NO2S","273.35","4","0.228912","1.14348","No Amine"
"Morphine","CN1CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@@H]2C=C[C@@H]4O)=C35","C17H19NO3","285.338","0","0.328519","1.08398","Tertiary Amine"
"N,N,N',N'-Tetraacetylethylenediamine","CC(=O)N(CCN(C(C)=O)C(C)=O)C(C)=O","C10H16N2O4","228.245","3","0.273876","1.01503","No Amine"
"N,N-diethyl-m-toluamide","CCN(CC)C(=O)C1=CC=CC(C)=C1","C12H17NO","191.269","3","0.116511","0.749716","No Amine"
"N,N-Dimethylaniline","CN(C)C1=CC=CC=C1","C8H11N","121.18","1","0.0351471","0.241619","No Amine"
"Naproxen","COC1=CC=C2C=C(C=CC2=C1)[C@H](C)C(O)=O","C14H14O3","230.259","3","0.0632338","0.525335","No Amine"
"Nitrobenzene","[O-][N+](=O)C1=CC=CC=C1","C6H5NO2","123.109","1","1.64535e-10","2.14206e-05","No Amine"
"Acetaminophensulfate","CC(=O)NC1=CC=C(OS(O)(=O)=O)C=C1","C8H9NO5S","231.226","3","0.0198948","0.286988","No Amine"
"p-Benzoquinone","O=C1C=CC(=O)C=C1","C6H4O2","108.095","0","2.87967e-10","2.38256e-05","No Amine"
"Propyzamide","CC(C)(NC(=O)C1=CC(Cl)=CC(Cl)=C1)C#C","C12H11Cl2NO","256.128","2","0.115341","0.719759","No Amine"
"Ranitidine","Cl.CN\C(NCCSCC1=CC=C(CN(C)C)O1)=C/[N+]([O-])=O","C13H23ClN4O3S","350.865","10","0.108946","1.0728","Tertiary Amine"
"Salicylicacid","OC(=O)C1=CC=CC=C1O","C7H6O3","138.121","1","1.88022e-10","2.4197e-05","No Amine"
"Schradan","CN(C)P(=O)(OP(=O)(N(C)C)N(C)C)N(C)C","C8H24N4O3P2","286.249","6","0.236097","1.06718","No Amine"
"Sertraline","CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12","C17H17Cl2N","306.23","2","0.247153","1.05519","Secondary Amine"
"Simazine","CCNC1=NC(NCC)=NC(Cl)=N1","C7H12ClN5","201.657","4","0.0237026","0.35659","No Amine"
"Sitagliptin","N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=CC(F)=C(F)C=C1F","C16H15F6N5O","407.314","5","0.0552122","0.83388","Primary Amine"
"Spirotetramat","CCOC(=O)OC1=C(C(=O)NC11CCC(CC1)OC)C1=C(C)C=CC(C)=C1","C21H27NO5","373.443","6","0.179438","1.19574","No Amine"
"Sulisobenzone","COC1=C(C=C(C(=O)C2=CC=CC=C2)C(O)=C1)S(O)(=O)=O","C14H12O6S","308.306","4","0.0904348","0.842522","No Amine"
"Terbutryn","CCNC1=NC(NC(C)(C)C)=NC(SC)=N1","C10H19N5S","241.356","5","0.09343","0.773074","No Amine"
"Terpineol","CC1=CCC(CC1)C(C)(C)O","C10H18O","154.249","1","0.141876","0.74629","No Amine"
"Tonalide","CC1CC(C)(C)C2=C(C=C(C)C(=C2)C(C)=O)C1(C)C","C18H26O","258.398","1","0.144796","0.88093","No Amine"
"Tramadol","COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C","C16H25NO2","263.375","4","0.413147","1.27065","Tertiary Amine"
"N-Phenyl-1-naphthylamine","N(C1=CC=CC=C1)C1=CC=CC2=CC=CC=C12","C16H13N","219.281","2","0.0611241","0.641846","No Amine"
"2-Naphthylamine","NC1=CC=C2C=CC=CC2=C1","C10H9N","143.185","0","0.00115454","0.0573514","No Amine"
"1-Naphthylamine","NC1=C2C=CC=CC2=CC=C1","C10H9N","143.185","0","0.0127257","0.112865","No Amine"
"N-nitrosodiphenylamine","O=NN(C1=CC=CC=C1)C1=CC=CC=C1","C12H10N2O","198.221","3","0.0879952","0.678061","No Amine"
"Venlafaxine","COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1","C17H27NO2","277.402","5","0.192242","1.06452","Tertiary Amine"
"Kanamycina","NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","C18H36N4O11","484.499","6","0.0835214","0.917398","Primary Amine"
"Streptomycin","CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O","C21H39N7O12","581.574","11","0.12139","1.16082","Secondary Amine"
"Amikacin","NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O","C22H43N5O13","585.603","10","0.177559","1.34904","Primary Amine"
"Arbekacin","NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O","C22H44N6O10","552.619","10","0.0772493","0.98715","Primary Amine"
"Dibekacin","NC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)O1","C18H37N5O8","451.515","6","0.147391","1.05752","Primary Amine"
"Gentamicin","CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1","C21H43N5O7","477.595","7","0.124085","1.06891","Primary Amine"
"Isepamicin","CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@@H](C[C@H](N)[C@@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2O)NC(=O)[C@@H](O)CN)OC[C@]1(C)O","C22H43N5O12","569.603","9","0.115156","1.18849","Primary Amine"
"Netilmicin","CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O","C21H41N5O7","475.58","8","0.0633067","0.87716","Primary Amine"
